x_off_cm,y_off_cm
-2.526,-1.096
-3.103,-1.863
2.723,2.896
3.706,-1.393
-4.943,1.109
3.006,2.987
-4.490,2.590
2.880,-2.794
-1.104,3.621
-1.851,1.065
3.549,-1.326
4.965,2.823
-3.363,-2.819
-1.862,-4.800
-0.887,-2.148
-1.506,3.470
-4.907,-3.461
-1.530,-4.520
-1.646,-0.420
0.866,1.346
-3.438,-1.127
4.105,3.214
1.481,4.568
-4.953,-4.075
4.622,-4.285
-4.487,3.203
-1.047,3.243
0.218,0.793
3.014,-2.083
-1.469,2.199
-1.858,4.142
1.055,-2.456
-4.394,3.724
-0.756,-0.875
-1.915,3.163
2.218,-2.203
-1.363,4.291
2.915,-3.949
-4.244,4.279
0.754,2.638
-2.752,-4.731
-4.552,-2.162
3.955,2.498
-1.425,-2.370
-4.204,0.625
-4.473,4.482
-4.081,-0.055
0.102,-3.076
0.958,-2.547
4.474,-3.909
-3.811,2.656
-3.976,-4.752
-4.450,-2.163
4.400,-4.676
-3.776,-0.894
1.765,-2.195
0.853,0.366
-0.731,4.269
4.029,2.384
-1.379,-0.981
0.363,-4.730
1.390,0.239
3.372,4.937
-1.503,-1.224
-3.488,1.819
-3.553,-0.162
4.166,1.600
-1.225,-0.122
-2.129,1.291
0.885,1.585
-1.144,0.265
-1.083,-0.759
-1.231,3.544
2.198,-1.333
2.693,0.450
1.772,-2.785
3.752,2.328
-0.725,-0.170
2.852,4.871
4.894,2.082
0.616,-3.846
-0.267,-4.524
-3.107,3.004
-3.268,-1.056
1.513,2.726
-1.349,-3.718
4.280,-3.119
-3.119,-4.929
-3.255,0.331
0.609,1.497
-2.480,0.102
0.874,-4.516
-3.563,4.536
1.362,-3.260
4.642,-3.989
-0.647,-3.540
-3.718,4.458
4.709,0.269
3.140,-1.655
-1.215,2.469
-2.733,-0.975
-4.871,-4.673
-3.762,-4.557
0.550,4.994
3.232,1.719
-4.137,-1.410
-1.986,4.024
-4.239,4.669
4.600,-0.504
2.617,-3.048
-3.861,-3.487
-4.890,2.194
-4.621,-3.035
3.530,1.537
-2.005,1.396
-3.873,3.325
-2.045,0.445
-2.174,-3.769
